web-scraper-order,web-scraper-start-url,listinglinks,listinglinks-href,stocknumber,mileage,price,Dealer,Header,Dealerindetails,vin,Dealership Full Name
1623675747-1420,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=2,"Save this listing2012 Nissan Altima 2.5 SDescription: Used 2012 Nissan Altima 2.5 S for sale - $7,999 - 154,329 kmCertified Pre-Owned: NoTransmission: AutomaticColour: SILVER$7,999$155/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $7,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.154,329 kmHIGH PRICE$1,187 ABOVEDealer4.7(3)CarGurus UserJan. 11, 2021Great group to deal withGuru9DNRZXNov. 29, 2020They were actually really great best ones I’ve dealt with in a long time we’ll go back to themCarGurus UserSep. 6, 2019The woman I spoke with was great and I would definitely deal with them in the future!Read all dealer reviews...Kingston, ON (3 km)Request InformationAuthorized Nissan Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=298601688,K3018B,"154,329 kilometres","$7,999 ",null,"2012 Nissan Altima 2.5 S - $7,999",James Braden Nissan,1N4AL2AP3CN476341,James Braden Nissan
1623668396-1163,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=19,"Save this listing2019 Nissan Sentra SV FWDDescription: Used 2019 Nissan Sentra SV FWD for sale - $15,999 - 43,650 km with Sunroof/Moonroof, Alloy Wheels, Bluetooth, Backup Camera, Heated Seats, Android Auto, CarPlay, Multi Zone Climate ControlCertified Pre-Owned: NoTransmission: Continuously Variable TransmissionColour: Blue$15,999$309/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $15,999 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.43,650 kmGOOD DEAL$1,351 BELOWKingston, ON (2 km)(613) 801-8017Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=296869555,4755,"43,650 kilometres","$15,999 ",Paulette Auto Sales,"2019 Nissan Sentra SV FWD - $15,999",null,3N1AB7AP5KY339206,Paulette Auto Sales
1623645166-186,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=84,"Image Not AvailableSave this listing2019 Ford F-150Description: Used 2019 Ford F-150 for sale - $48,900 - 46,060 kmCertified Pre-Owned: NoTransmission: AutomaticColour: White$48,900$944/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $48,900 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.46,060 kmFAIR DEAL$962 ABOVEDealer5(6)Guru9XKQ3CMay 30, 2021They were very friendly and helpful.Guru9WM93FMar. 31, 2021Excellent experience with sales and management.   I didn't buy the car but they were very helpful.  I would definitely go there when I'm car shopping again.
BillwagarJan. 13, 2021Responded quicklyRead 3 more dealer reviews...Gananoque, ON (31 km)Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=305006386,210611A,"46,060 kilometres","$48,900 ",null,"2019 Ford F-150 - $48,900",Gananoque Chevrolet,1FTEW1E54KFD20744,Gananoque Chevrolet
1623659207-805,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=43,"Image Not AvailableSave this listingNEW: Just added2017 Ford Escape SE AWDDescription: Used 2017 Ford Escape SE AWD for sale - $21,995 - 56,200 kmCertified Pre-Owned: NoTransmission: AutomaticColour: Grey$21,995$425/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $21,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.56,200 kmHIGH PRICE$2,073 ABOVEDealer4.4(7)GuruLY4P7Jan. 19, 2021GreatCarGurus UserJan. 17, 2020Quick response. Vehicle sold. CarGurus UserDec. 18, 2019Quick and prompt. Gave me all the info I needed Read 4 more dealer reviews...Kingston, ON (2 km)(855) 939-1150Request InformationAuthorized Ford Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=305199157,21B17A,"56,200 kilometres","$21,995 ",Petrie Ford,"2017 Ford Escape SE AWD - $21,995",null,1FMCU9GD3HUD69000,Petrie Ford
1623653498-560,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=59,"Save this listing2019 Dodge Grand Caravan GT FWDDescription: Used 2019 Dodge Grand Caravan GT FWD for sale - $27,780 - 56,371 km with Leather Seats, Alloy Wheels, Third Row Seating, Bluetooth, Backup Camera, Remote Start, Heated SeatsCertified Pre-Owned: NoTransmission: 6-Speed AutomaticColour: Red$27,780$536/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $27,780 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.56,371 kmFAIR DEAL$591 BELOWDealer4.4(5)CarGurus UserJul. 14, 2020Dealer was great, found what we wanted elsewhereGuruY9J3LOct. 14, 2019yes they replied me and Shaynna contacted me and was very nice to me and then I was to slow and 
the truck was sold .We will stay in contact if they receive another truck , thanksCarGurus UserAug. 26, 2019Reply to ? FastRead 2 more dealer reviews...Kingston, ON (0 km)(343) 429-8156Request InformationAuthorized Dodge Dealer",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=245552961,19P089,"56,371 kilometres","$27,780 ",Kingston Dodge Chrysler Ltd,"2019 Dodge Grand Caravan GT FWD - $27,780",null,2C4RDGEG5KR515353,Kingston Dodge Chrysler Ltd
1623642117-17,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=96,"Image Not AvailableSave this listing2015 Buick Encore Convenience FWDDescription: Used 2015 Buick Encore Convenience FWD for sale96,990 km with Navigation System, Alloy Wheels, Bluetooth, Backup CameraCertified Pre-Owned: NoTransmission: AutomaticColour: MAROONNo Price Listed96,990 kmNO PRICE ANALYSISDealer4.7(3)CarGurus UserJan. 11, 2021Great group to deal withGuru9DNRZXNov. 29, 2020They were actually really great best ones I’ve dealt with in a long time we’ll go back to themCarGurus UserSep. 6, 2019The woman I spoke with was great and I would definitely deal with them in the future!Read all dealer reviews...Kingston, ON (3 km)Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=305215854,N3035A,"96,990 kilometres",null,null,2015 Buick Encore Convenience FWD,James Braden Nissan,KL4CJASB1FB159485,James Braden Nissan
1623669543-1205,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=16,"Save this listing2017 MINI Cooper 2-Door Hatchback FWDDescription: Used 2017 MINI Cooper 2-Door Hatchback FWD for sale - $14,998 - 84,892 km with Leather Seats, Sunroof/Moonroof, Storage Package, Alloy Wheels, Heat Package, Heated Seats, Comfort Package, Cold Weather PackageCertified Pre-Owned: NoTransmission: 6-Speed AutomaticColour: Black$14,998$290/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $14,998 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.84,892 kmGOOD DEAL$1,062 BELOWDealer4.7(61)CarGurus UserApr. 1, 2021They were prompt and courteous . CarGurus UserMar. 21, 2021Quick and courteous response to my enquiry CarGurus UserMar. 11, 2021They did answer all my questions and concerns Read 58 more dealer reviews...Kingston, ON (3 km)(343) 307-0450Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=300019653,CT21-268,"84,892 kilometres","$14,998 ",Car One,"2017 MINI Cooper 2-Door Hatchback FWD - $14,998",null,WMWXP5C32H3C64604,Car One
1623674242-1370,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=5,"Save this listingNEW: Just added2013 Nissan Altima 2.5 SLDescription: Used 2013 Nissan Altima 2.5 SL for sale - $10,995 - 119,590 km with Sunroof/Moonroof, Backup CameraCertified Pre-Owned: NoTransmission: Continuously Variable TransmissionColour: Black$10,995$213/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $10,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.119,590 kmFAIR DEAL$453 ABOVEDealer4.8(6)CarGurus UserSep. 1, 2020Yes the dealership got right back to me 
The salesperson Bradie was amazing and very efficient. Since I’m out of town he sent me all the photos and car spec information I asked for to view. 
Bradie has excellent communication skills and was outstanding providing excellent customer service. 
I high recommend this dealership. 
They went beyond customers satisfaction. 
Thank you Suzanne CarGurus UserApr. 26, 2020Autohouse was awesome and I bought the car, 
very pleased with their service and great attitude!CarGurus UserSep. 26, 2019Very professional and friendly. Willing to go the distance!Read 3 more dealer reviews...Kingston, ON (3 km)(613) 706-3404Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=304926015,9013A,"119,590 kilometres","$10,995 ",AutoHouse Kingston,"2013 Nissan Altima 2.5 SL - $10,995",null,1N4AL3AP4DN415300,AutoHouse Kingston
1623658250-766,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=46,"Save this listing2015 RAM ProMaster City ST Passenger WagonDescription: Used 2015 RAM ProMaster City ST Passenger Wagon for sale - $22,995 - 35,236 km with Steel Wheels, Quick Order PackageCertified Pre-Owned: NoTransmission: 9-Speed AutomaticColour: White$22,995$444/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $22,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.35,236 kmNO PRICE ANALYSISDealer4.8(6)CarGurus UserNov. 15, 2020Joe was great -- contacted me by phone right away, and was v. helpful with information, 
both on the phone and later answering my questions via email.CarGurus UserSep. 1, 2020Yes the dealership got right back to me 
The salesperson Bradie was amazing and very efficient. Since I’m out of town he sent me all the photos and car spec information I asked for to view. 
Bradie has excellent communication skills and was outstanding providing excellent customer service. 
I high recommend this dealership. 
They went beyond customers satisfaction. 
Thank you Suzanne NanacoulmoonMay 14, 2020Quick to respond considering 
covid-19. Read 3 more dealer reviews...Kingston, ON (3 km)(613) 706-3404Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=297127315,9008,"35,236 kilometres","$22,995 ",AutoHouse Kingston,"2015 RAM ProMaster City ST Passenger Wagon - $22,995",null,ZFBERFAT7F6955815,AutoHouse Kingston
1623673314-1338,https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#resultsPage=7,"Save this listing2013 Subaru Outback 2.5i LimitedDescription: Used 2013 Subaru Outback 2.5i Limited for sale - $11,995 - 210,235 km with Leather Seats, Sunroof/Moonroof, Navigation System, Alloy Wheels, Bluetooth, Backup Camera, Heated SeatsCertified Pre-Owned: NoTransmission: Continuously Variable TransmissionColour: Blue$11,995$232/mo est.**Estimated payments are for informational purposes only and do not represent a financing offer or guarantee of credit from the seller or from CarGurus. Estimated payments are calculated based on the Dealer's Price and may or may not include freight, fees, license, insurance, registration and taxes. Dealer rates may differ. Monthly Estimate based on a 4.4% rate for 60 months, $11,995 vehicle price, $0 down payment, $0 trade-in, $0 sales tax.210,235 kmOVERPRICED$2,830 ABOVEKingston, ON (3 km)Request Information",https://www.cargurus.ca/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=K7M%203E9&showNegotiable=true&sortDir=ASC&sourceContext=carGurusHomePageModel&distance=50&sortType=PRICE#listing=301337150,null,"210,235 kilometres","$11,995 ",null,"2013 Subaru Outback 2.5i Limited - $11,995",Wagmarr Auto Sales,4S4BRGLC5D3239329,Wagmarr Auto Sales
